Level,상위 LOT 연결,명칭 / 구성품,생산LOT,수식 (Formula),단위
1,생산 Lot,포장박스_공용,EMA021,"target_qty - if(target_qty > 150, 8 , 2)",박스
1,생산 Lot,용기 고정용 스펀지_2,EMA014,"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Calibrator,CR(04),"target_qty - if(target_qty > 150, 8 , 2)",세트
1,생산 Lot,Positive Control,PC(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Negative Control,NC(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Detection Antibody,DA(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Reagent Dilution Buffer,RD(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Washing Solution(20×),WS(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,TMB Solution,TM(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Stop Solution,SS(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Uncoated Plate (Plate-A),EMA013,"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Antibody Coated 96-well Plate (Plate-B),PL(04),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,사용자 설명서,,"target_qty - if(target_qty > 150, 8 , 2)",장
2,CR(04),"10,000U/㎖ hTrx1",BCM004,"ROUNDUP(((target_qty * 0.35 + 1.5) * 2) / 7, 0)",개
2,CR(04),PBSA Buffer,PB(04),"ROUNDUP((7.188*(ROUNDUP(((target_qty*0.35+1.5)*2)/7,0)))+((((2.8+4.2)*(ROUNDUP(((target_qty*0.35+1.5)*2)/7,0)))/2)*4)+(target_qty*0.35+1),0)",㎖
2,CR(04),2ml Tube_Lock,EMA020,target_qty * 6,개
2,PC(04),"1,000U/㎖ hTrx1",BCM005,"ROUNDUP(((ROUNDUP((target_qty * 0.35 + 1.5), 0)) * 0.025) / 0.14, 0)",개
2,PC(04),PBSA Buffer,PB(04),"ROUNDUP((target_qty*0.35)+1.5,0)",㎖
2,PC(04),2ml Tube_Lock,EMA020,target_qty,개
