Level,상위 LOT 연결,명칭 / 구성품,생산LOT,수식 (Formula),단위
1,생산 Lot,포장박스_공용,EMA021,"target_qty - if(target_qty > 150, 8 , 2)",박스
1,생산 Lot,용기 고정용 스펀지_2,EMA014,"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Calibrator,CR(PP),"target_qty - if(target_qty > 150, 8 , 2)",세트
1,생산 Lot,Positive Control,PC(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Negative Control,NC(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Detection Antibody,DA(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Reagent Dilution Buffer,RD(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Washing Solution(10×),WS(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,TMB Solution,TM(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Stop Solution,SS(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Uncoated Plate (Plate-A),EMA013,"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Antibody Coated 96-well Plate (Plate-B),PL(PP),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,사용자 설명서,,"target_qty - if(target_qty > 150, 8 , 2)",장
2,CR(PP),"10,000U/㎖ hTrx1",BCM004,"ROUNDUP(((target_qty * 1.6 + 3) * 2) / 7, 0)",개
2,CR(PP),PBSA Buffer,PB(PP),"ROUNDUP((7.188*(ROUNDUP(((target_qty*1.6+3)*2)/7,0)))+((((2.8+4.2)*(ROUNDUP(((target_qty*1.6+3)*2)/7,0)))/2)*4)+(target_qty*1.6+1),0)",㎖
2,CR(PP),2ml Tube_Lock,EMA020,target_qty * 6,개
2,PC(PP),"1,000U/㎖ hTrx1",BCM005,"ROUNDUP(((ROUNDUP((target_qty * 1.6 + 3), 0)) * 0.025) / 0.14, 0)",개
2,PC(PP),PBSA Buffer,PB(PP),"ROUNDUP((target_qty*1.6)+3,0)",㎖
2,PC(PP),2ml Tube_Lock,EMA020,target_qty,개
