Level,상위 LOT 연결,명칭 / 구성품,생산LOT,수식 (Formula),단위
1,생산 Lot,포장박스_96,EMA015,"target_qty - if(target_qty > 150, 8 , 2)",박스
1,생산 Lot,용기 고정용 스펀지_2,EMA014,"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Calibrator,CR(Q),"target_qty - if(target_qty > 150, 8 , 2)",세트
1,생산 Lot,Positive Control,PC(Q),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Negative Control,NC(Q),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Detection Antibody,DA(Q),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Reagent Dilution Buffer,RD(Q),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Washing Solution(10×),WS(Q),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,TMB Solution,TM(Q),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Stop Solution,SS(Q),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Uncoated Plate (Plate-A),EMA013,"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,Antibody Coated 96-well Plate (Plate-B),PL(01),"target_qty - if(target_qty > 150, 8 , 2)",개
1,생산 Lot,사용자 설명서,,"target_qty - if(target_qty > 150, 8 , 2)",장
2,CR(Q),"10,000U/㎖ hTrx1",BCM004,"ROUNDUP(((target_qty * 0.04 + 1.5) * 2) / 4, 0)+1",개
2,CR(Q),PBSA Buffer,PB(Q),,㎖
2,CR(Q),2ml Tube_Lock,EMA020,target_qty * 6,개
2,PC(Q),"1,000U/㎖ hTrx1",BCM005,"ROUNDUP(((ROUNDUP((target_qty * 0.04 + 1), 0)) * 0.025) / 0.14, 0)",개
2,PC(Q),PBSA Buffer,PB(01),"ROUNDUP((target_qty*0.04)+1,0)",㎖
2,PC(Q),2ml Tube_Lock,EMA020,target_qty,개
2,NC(Q),"1,000U/㎖ hTrx1",BCM005,,개
2,NC(Q),PBSA Buffer,PB(Q),"ROUNDUP((target_qty*0.04)+1,0)",㎖
2,NC(Q),2ml Tube_Lock,EMA020,target_qty,개
2,DA(Q),Ab-Trx1-2(Ab2),BCM003,"IF(target_qty<16, 1, ROUNDUP((target_qty-16)/40,0)+1)",개
2,DA(Q),HRP-IgG Conjugation Kit,CMA015,"IF(target_qty<16, 1, ROUNDUP((target_qty-16)/40,0)+1)",회분
2,DA(Q),D.W.,CMA006,1,㎖
2,DA(Q),PBSA Buffer,PB(Q),"ROUNDUP((ROUNDUP(target_qty*50+200,-2))+(((ROUNDUP(target_qty*50+200,-2))/5)+50),-3)/1000",㎖
2,DA(Q),2ml Tube_Lock,EMA020,target_qty,개
2,PL(Q),Ab-Trx1,BCM002,"ROUNDUP((target_qty * 10 + 30) / 200, 0)",개
2,PL(Q),Coating Buffer,CB(Q),target_qty*10+30,㎖
2,PL(Q),ELISA Plate,EMA001,target_qty,개
2,PL(Q),Washing Buffer (10×),WB(Q),target_qty*6+40,㎖
2,PL(Q),D.W.,CMA006,(6*target_qty+40) * 9,㎖
2,PL(Q),PBSA Buffer,PB(Q),"20*target_qty+IF(target_qty<=12,30,60)",㎖
2,PL(Q),Trehalose,CMA017,"ROUNDUP(((20*target_qty+60)*378.33*0.1)/1000,2)",g
2,PL(Q),실리카 젤 (Silica Gel),EMA008,target_qty,개
2,PL(Q),알루미늄 지퍼백,EMA009,target_qty,개
2,PL(Q),플레이트 커버,EMA012,target_qty,개
2,RD(Q),PBSA Buffer,PB(Q),target_qty*25+30,㎖
2,RD(Q),30㎖ Bottle,EMA007,target_qty,개
2,WS(Q),Washing Buffer(10×),WB(Q),target_qty*12+30,㎖
2,WS(Q),30㎖ Bottle,EMA007,target_qty,개
2,TM(Q),TMB,CMA014,target_qty*12+10,㎖
2,TM(Q),15㎖ Amber Bottle,EMA006,target_qty,개
2,SS(Q),Sulfuric Acid(H2SO4),CMA012,"ROUNDUP((target_qty*12+50)/18,0)",㎖
2,SS(Q),D.W.,CMA006,"ROUNDUP((target_qty*12+50)/18,0)*17",㎖
2,SS(Q),15㎖ Bottle,EMA005,target_qty,개
3,CB(Q),Sodium Carbonate(Na2CO3),CMA007,"ROUNDUP((target_qty*10+30)/1000,0) * 1.59",g
3,CB(Q),Sodium Bicarbonate(NaHCO3),CMA008,"ROUNDUP((target_qty*10+30)/1000,0) * 2.93",g
3,CB(Q),Sodium Azide(NaN3),CMA009,"ROUNDUP((target_qty*10+30)/1000,0) * 0.2",g
3,CB(Q),D.W.,CMA006,"ROUNDUP((target_qty*10+30)/1000,0) * 1000",㎖
3,PB(Q),PBSA,CMA003,,개
3,PB(Q),D.W.,CMA006,,㎖
3,WB(Q),PBST,CMA004,"ROUNDUP((target_qty*6+40)+(target_qty*12+30),-2) / 100",개
3,WB(Q),D.W.,CMA006,"ROUNDUP((target_qty*6+40)+(target_qty*12+30),-2)",㎖
